desc,address,link,price,bedrooms,bathrooms,toilets,parking space,location,Estate,ppty_type
2 bedroom flat / apartment for rent,"Off Keffi Street, Ikoyi, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/lagos/ikoyi/2245014-2-bedroom-flat-with-for-office-use,7000000.0,2.0,2.0,2.0,3.0,Ikoyi,"Street, Keffi",flat 
3 bedroom terraced duplex for rent,"Orchid Road, Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/houses/terraced-duplexes/lagos/lekki/2245005-fully-serviced-3bedrms-terrace-duplex-available-4m,4000000.0,3.0,4.0,4.0,2.0,Lekki,"Road, Orchid",terraced duplex
3 bedroom flat / apartment for rent,"Osapa, Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/lagos/lekki/osapa/2244996-beautiful-3-bedroom-flat,3000000.0,3.0,3.0,4.0,2.0,Lekki,,flat 
1 bedroom mini flat (room and parlour) for rent,"Mobil Road, Ilaje, Ajah, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/mini-flats/lagos/ajah/ilaje-ajah/2238459-newly-built-mini-flat,1400000.0,1.0,1.0,2.0,1.0,Ajah,"Ilaje, Road,",mini flat
1 bedroom mini flat (room and parlour) for rent,"Off Admiralty, Lekki Phase 1, Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/mini-flats/lagos/lekki/lekki-phase-1/2150753-fully-furnished-one-bedroom-apartment,5500000.0,1.0,1.0,1.0,1.0,Lekki,"1, Phase",mini flat
2 bedroom flat / apartment for rent,"Via Herbert Macaulay Way, Yaba, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/lagos/yaba/2244970-2-bedroom-duplex,3500000.0,2.0,2.0,3.0,2.0,Yaba,"Way, Macaulay",flat 
3 bedroom flat / apartment for rent,"Off Adekunle Kuye Street By Agbonyi Avenue, Kilo, Surulere, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/lagos/surulere/kilo/2244950-newly-renovated-and-well-finished-3bedroom-flat-upstairs,2400000.0,3.0,3.0,4.0,2.0,Surulere,"Kilo, Avenue,",flat 
1 bedroom mini flat (room and parlour) for rent,"Ikoyi, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/mini-flats/lagos/ikoyi/2244949-1-bedroom-apartment,10000000.0,1.0,1.0,2.0,1.0,Ikoyi,,mini flat
3 bedroom flat / apartment for rent,"Old Ikoyi, Ikoyi, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/lagos/ikoyi/old-ikoyi/2244907-lovely-and-well-maintained-3-bedroom-flat-with-staff-room,15000000.0,3.0,3.0,4.0,2.0,Ikoyi,"Ikoyi, Old",flat 
1 bedroom mini flat (room and parlour) for rent,"Eleganza Gardens Estate Opposite Vgc, Ajah, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/mini-flats/lagos/ajah/2244880-luxury-spacious-room-and-parlor,1600000.0,1.0,1.0,1.0,1.0,Ajah,"Vgc, Opposite",mini flat
1 bedroom mini flat (room and parlour) for rent,"Off Admiralty Way Lekki Phase One, Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/mini-flats/lagos/lekki/2244829-luxury-serviced-room-and-parlor,3500000.0,1.0,1.0,2.0,2.0,Lekki,"One, Phase",mini flat
3 bedroom flat / apartment for rent,"Ajah, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/lagos/ajah/2101072-3-bedroom-flat,2500000.0,3.0,3.0,3.0,2.0,Ajah,,flat 
3 bedroom flat / apartment for rent,"Ilasan, Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/lagos/lekki/2131790-three-bedroom-flat,4500000.0,3.0,3.0,4.0,2.0,Lekki,,flat 
2 bedroom flat / apartment for rent,"Sangotedo, Ajah, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/lagos/ajah/sangotedo/2155891-two-bedrooms-flat,1200000.0,2.0,2.0,2.0,2.0,Ajah,,flat 
3 bedroom terraced duplex for rent,"Ikota, Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/houses/terraced-duplexes/lagos/lekki/ikota/2244722-aesthetically-newly-built-3-bedroom-terrace-duplex,4500000.0,3.0,3.0,4.0,2.0,Lekki,,terraced duplex
3 bedroom semi-detached duplex for rent,"Chisco, Ikate, Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/houses/semi-detached-duplexes/lagos/lekki/ikate/2236661-3-bedroom-semi-detached-duplex,9000000.0,3.0,3.0,4.0,2.0,Lekki,"Ikate, Chisco,",semi-detached duplex
3 bedroom flat / apartment for rent,"Sunview Estate, Sangotedo, Ajah, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/lagos/ajah/sangotedo/2198876-brand-new-3-bedrooms-flat,2000000.0,3.0,3.0,4.0,2.0,Ajah,"Sangotedo, Estate,",flat 
3 bedroom terraced duplex for rent,"Magodo Isheri, GRA Phase 1, Magodo, Lagos",https://nigeriapropertycentre.com//for-rent/houses/terraced-duplexes/lagos/magodo/gra-phase-1/2244669-lovely-3-bedroom-duplex-with-bq,3000000.0,3.0,3.0,4.0,2.0,Magodo,"1, Phase",terraced duplex
